CA0101,DIRECCIÓN,JUNTA DIRECTIVA
CA010101,INNOVACIÓN,GERENCIA GENERAL
CA0301,CONTRALORIA,GERENCIA GENERAL
CP0301,INGENIERIA,GERENCIA INDUSTRIA
CP0101,PRODUCCIÓN (FABRICACIÓN DE PRODUCTO),GERENCIA INDUSTRIA
CA0202,SGC,DIRECCION CALIDAD
CP040301,POSTVENTA,GERENCIA INDUSTRIA
CV0101,GESTIÓN DE VENTAS,GERENCIA GENERAL
CA040501,GESTIÓN CAPITAL HUMANO,GERENTE ADMINISTRATIVO Y FINANCIERO
CA0402,CONTABILIDAD,GERENTE ADMINISTRATIVO Y FINANCIERO
CA0404,TECNOLOGÍA DE LA INFORMACIÓN,GERENTE ADMINISTRATIVO Y FINANCIERO
CA0504,PLANEACIÓN,GERENTE LOGÍSTICO
CA050101,COMERCIO EXTERIOR,GERENTE LOGÍSTICO
CA0502,COMPRAS,GERENTE LOGÍSTICO
CA0502,DIRECCIÓN DE NEGOCIACIONES,GERENTE LOGÍSTICO
CA0503,ALMACEN,GERENTE LOGÍSTICO
